Republican_percent,Republican_number,Democratic_percent,Democratic_number,state_abb,year,President,margin,number_margin,win,household_income,national_income,relative_income
60.54,872849,38.28,551899,AL,1984,Ronald Reagan,22.26,320950,Republican,37624,48720,0.772249589
66.65,138377,29.87,62007,AK,1984,Ronald Reagan,36.78,76370,Republican,70327,48720,1.443493432
66.42,681416,32.54,333854,AZ,1984,Ronald Reagan,33.88,347562,Republican,46568,48720,0.955829228
60.47,534774,38.29,338646,AR,1984,Ronald Reagan,22.18,196128,Republican,34068,48720,0.699261084
57.51,5467009,41.27,3922519,CA,1984,Ronald Reagan,16.24,1544490,Republican,54962,48720,1.128119869
63.44,821818,35.12,454974,CO,1984,Ronald Reagan,28.32,366844,Republican,56079,48720,1.151046798
60.73,890877,38.83,569597,CT,1984,Ronald Reagan,21.9,321280,Republican,65099,48720,1.336186371
59.78,152190,39.93,101656,DE,1984,Ronald Reagan,19.85,50534,Republican,56118,48720,1.151847291
13.73,29009,85.38,180408,D.C.,1984,Ronald Reagan,-71.65,-151399,Democratic,44357,48720,0.910447455
65.32,2730350,34.66,1448816,FL,1984,Ronald Reagan,30.66,1281534,Republican,43003,48720,0.882655993
60.17,1068722,39.79,706628,GA,1984,Ronald Reagan,20.38,362094,Republican,43436,48720,0.891543514
55.1,185050,43.82,147154,HI,1984,Ronald Reagan,11.28,37896,Republican,62765,48720,1.288279967
72.36,297523,26.39,108510,ID,1984,Ronald Reagan,45.97,189013,Republican,45844,48720,0.940968801
56.17,2707103,43.3,2086499,IL,1984,Ronald Reagan,12.87,620604,Republican,51626,48720,1.059646962
61.67,1377230,37.68,841481,IN,1984,Ronald Reagan,23.99,535749,Republican,49491,48720,1.015825123
53.27,703088,45.89,605620,IA,1984,Ronald Reagan,7.38,97468,Republican,43173,48720,0.88614532
66.27,677296,32.6,333149,KS,1984,Ronald Reagan,33.67,344147,Republican,53532,48720,1.098768473
60.04,822782,39.37,539589,KY,1984,Ronald Reagan,20.67,283193,Republican,38428,48720,0.788752053
60.77,1037299,38.18,651586,LA,1984,Ronald Reagan,22.59,385713,Republican,41186,48720,0.845361248
60.83,336500,38.78,214515,ME,1984,Ronald Reagan,22.05,121985,Republican,44879,48720,0.921161741
52.51,879918,47.02,787935,MD,1984,Ronald Reagan,5.49,91983,Republican,64571,48720,1.325348933
